# The verse number a printed 和合本 shows, by the KJV address the
# text sits at here. Generated by data-prep/cuv/build-cuv.py; read
# by NumberingSpec (Zht and Zhs — one tradition, one table).
# osis	chapter	verse	printedRef
Deut	13	18	13:17
1Chr	22	1	21:31
1Chr	22	2	22:1
1Chr	22	3	22:2
1Chr	22	4	22:3
1Chr	22	5	22:4
1Chr	22	6	22:5
1Chr	22	7	22:6
1Chr	22	8	22:7
1Chr	22	9	22:8
1Chr	22	10	22:9
1Chr	22	11	22:10
1Chr	22	12	22:11
1Chr	22	13	22:12
1Chr	22	14	22:13
1Chr	22	15	22:14
1Chr	22	16	22:15
1Chr	22	17	22:16
1Chr	22	18	22:17
1Chr	22	19	22:18
Ps	116	19	116:18
John	7	53	8:1
