# The French verse number a printed Ostervald shows, by the KJV
# address the text sits at here. Generated by
# data-prep/ostervald/build-ostervald.py; read by NumberingSpec (Fr).
# osis	chapter	verse	printedRef
Num	12	16	13:1
Num	13	1	13:2
Num	13	2	13:3
Num	13	3	13:4
Num	13	4	13:5
Num	13	5	13:6
Num	13	6	13:7
Num	13	7	13:8
Num	13	8	13:9
Num	13	9	13:10
Num	13	10	13:11
Num	13	11	13:12
Num	13	12	13:13
Num	13	13	13:14
Num	13	14	13:15
Num	13	15	13:16
Num	13	16	13:17
Num	13	17	13:18
Num	13	18	13:19
Num	13	19	13:20
Num	13	20	13:21
Num	13	21	13:22
Num	13	22	13:23
Num	13	23	13:24
Num	13	24	13:25
Num	13	25	13:26
Num	13	26	13:27
Num	13	27	13:28
Num	13	28	13:29
Num	13	29	13:30
Num	13	30	13:31
Num	13	31	13:32
Num	13	32	13:33
Num	13	33	13:34
Num	29	40	30:1
Num	30	1	30:2
Num	30	2	30:3
Num	30	3	30:4
Num	30	4	30:5
Num	30	5	30:6
Num	30	6	30:7
Num	30	7	30:8
Num	30	8	30:9
Num	30	9	30:10
Num	30	10	30:11
Num	30	11	30:12
Num	30	12	30:13
Num	30	13	30:14
Num	30	14	30:15
Num	30	15	30:16
Num	30	16	30:17
1Sam	23	29	24:1
1Sam	24	1	24:2
1Sam	24	2	24:3
1Sam	24	3	24:4
1Sam	24	4	24:5
1Sam	24	5	24:6
1Sam	24	6	24:7
1Sam	24	7	24:8
1Sam	24	8	24:9
1Sam	24	9	24:10
1Sam	24	10	24:11
1Sam	24	11	24:12
1Sam	24	12	24:13
1Sam	24	13	24:14
1Sam	24	14	24:15
1Sam	24	15	24:16
1Sam	24	16	24:17
1Sam	24	17	24:18
1Sam	24	18	24:19
1Sam	24	19	24:20
1Sam	24	20	24:21
1Sam	24	21	24:22
1Sam	24	22	24:23
1Kgs	22	44	22:45
1Kgs	22	45	22:46
1Kgs	22	46	22:47
1Kgs	22	47	22:48
1Kgs	22	48	22:49
1Kgs	22	49	22:50
1Kgs	22	50	22:51
1Kgs	22	51	22:52
1Kgs	22	52	22:53
1Kgs	22	53	22:54
Job	38	39	39:1
Job	38	40	39:2
Job	38	41	39:3
Job	39	1	39:4
Job	39	2	39:5
Job	39	3	39:6
Job	39	4	39:7
Job	39	5	39:8
Job	39	6	39:9
Job	39	7	39:10
Job	39	8	39:11
Job	39	9	39:12
Job	39	10	39:13
Job	39	11	39:14
Job	39	12	39:15
Job	39	13	39:16
Job	39	14	39:17
Job	39	15	39:18
Job	39	16	39:19
Job	39	17	39:20
Job	39	18	39:21
Job	39	19	39:22
Job	39	20	39:23
Job	39	21	39:24
Job	39	22	39:25
Job	39	23	39:26
Job	39	24	39:27
Job	39	25	39:28
Job	39	26	39:29
Job	39	27	39:30
Job	39	28	39:31
Job	39	29	39:32
Job	39	30	39:33
Job	40	1	39:34
Job	40	2	39:35
Job	40	3	39:36
Job	40	4	39:37
Job	40	5	39:38
Job	40	6	40:1
Job	40	7	40:2
Job	40	8	40:3
Job	40	9	40:4
Job	40	10	40:5
Job	40	11	40:6
Job	40	12	40:7
Job	40	13	40:8
Job	40	14	40:9
Job	40	15	40:10
Job	40	16	40:11
Job	40	17	40:12
Job	40	18	40:13
Job	40	19	40:14
Job	40	20	40:15
Job	40	21	40:16
Job	40	22	40:17
Job	40	23	40:18
Job	40	24	40:19
Job	41	1	40:20
Job	41	2	40:21
Job	41	3	40:22
Job	41	4	40:23
Job	41	5	40:24
Job	41	6	40:25
Job	41	7	40:26
Job	41	8	40:27
Job	41	9	40:28
Job	41	10	41:1
Job	41	11	41:2
Job	41	12	41:3
Job	41	13	41:4
Job	41	14	41:5
Job	41	15	41:6
Job	41	16	41:7
Job	41	17	41:8
Job	41	18	41:9
Job	41	19	41:10
Job	41	20	41:11
Job	41	21	41:12
Job	41	22	41:13
Job	41	23	41:14
Job	41	24	41:15
Job	41	25	41:16
Job	41	26	41:17
Job	41	27	41:18
Job	41	28	41:19
Job	41	29	41:20
Job	41	30	41:21
Job	41	31	41:22
Job	41	32	41:23
Job	41	33	41:24
Job	41	34	41:25
Ps	3	1	3:2
Ps	3	2	3:3
Ps	3	3	3:4
Ps	3	4	3:5
Ps	3	5	3:6
Ps	3	6	3:7
Ps	3	7	3:8
Ps	3	8	3:9
Ps	4	1	4:2
Ps	4	2	4:3
Ps	4	3	4:4
Ps	4	4	4:5
Ps	4	5	4:6
Ps	4	6	4:7
Ps	4	7	4:8
Ps	4	8	4:9
Ps	5	1	5:2
Ps	5	2	5:3
Ps	5	3	5:4
Ps	5	4	5:5
Ps	5	5	5:6
Ps	5	6	5:7
Ps	5	7	5:8
Ps	5	8	5:9
Ps	5	9	5:10
Ps	5	10	5:11
Ps	5	11	5:12
Ps	5	12	5:13
Ps	6	1	6:2
Ps	6	2	6:3
Ps	6	3	6:4
Ps	6	4	6:5
Ps	6	5	6:6
Ps	6	6	6:7
Ps	6	7	6:8
Ps	6	8	6:9
Ps	6	9	6:10
Ps	6	10	6:11
Ps	7	1	7:2
Ps	7	2	7:3
Ps	7	3	7:4
Ps	7	4	7:5
Ps	7	5	7:6
Ps	7	6	7:7
Ps	7	7	7:8
Ps	7	8	7:9
Ps	7	9	7:10
Ps	7	10	7:11
Ps	7	11	7:12
Ps	7	12	7:13
Ps	7	13	7:14
Ps	7	14	7:15
Ps	7	15	7:16
Ps	7	16	7:17
Ps	7	17	7:18
Ps	8	1	8:2
Ps	8	2	8:3
Ps	8	3	8:4
Ps	8	4	8:5
Ps	8	5	8:6
Ps	8	6	8:7
Ps	8	7	8:8
Ps	8	8	8:9
Ps	8	9	8:10
Ps	9	1	9:2
Ps	9	2	9:3
Ps	9	3	9:4
Ps	9	4	9:5
Ps	9	5	9:6
Ps	9	6	9:7
Ps	9	7	9:8
Ps	9	8	9:9
Ps	9	9	9:10
Ps	9	10	9:11
Ps	9	11	9:12
Ps	9	12	9:13
Ps	9	13	9:14
Ps	9	14	9:15
Ps	9	15	9:16
Ps	9	16	9:17
Ps	9	17	9:18
Ps	9	18	9:19
Ps	9	19	9:20
Ps	9	20	9:21
Ps	12	1	12:2
Ps	12	2	12:3
Ps	12	3	12:4
Ps	12	4	12:5
Ps	12	5	12:6
Ps	12	6	12:7
Ps	12	7	12:8
Ps	12	8	12:9
Ps	18	1	18:2
Ps	18	2	18:3
Ps	18	3	18:4
Ps	18	4	18:5
Ps	18	5	18:6
Ps	18	6	18:7
Ps	18	7	18:8
Ps	18	8	18:9
Ps	18	9	18:10
Ps	18	10	18:11
Ps	18	11	18:12
Ps	18	12	18:13
Ps	18	13	18:14
Ps	18	14	18:15
Ps	18	15	18:16
Ps	18	16	18:17
Ps	18	17	18:18
Ps	18	18	18:19
Ps	18	19	18:20
Ps	18	20	18:21
Ps	18	21	18:22
Ps	18	22	18:23
Ps	18	23	18:24
Ps	18	24	18:25
Ps	18	25	18:26
Ps	18	26	18:27
Ps	18	27	18:28
Ps	18	28	18:29
Ps	18	29	18:30
Ps	18	30	18:31
Ps	18	31	18:32
Ps	18	32	18:33
Ps	18	33	18:34
Ps	18	34	18:35
Ps	18	35	18:36
Ps	18	36	18:37
Ps	18	37	18:38
Ps	18	38	18:39
Ps	18	39	18:40
Ps	18	40	18:41
Ps	18	41	18:42
Ps	18	42	18:43
Ps	18	43	18:44
Ps	18	44	18:45
Ps	18	45	18:46
Ps	18	46	18:47
Ps	18	47	18:48
Ps	18	48	18:49
Ps	18	49	18:50
Ps	18	50	18:51
Ps	19	1	19:2
Ps	19	2	19:3
Ps	19	3	19:4
Ps	19	4	19:5
Ps	19	5	19:6
Ps	19	6	19:7
Ps	19	7	19:8
Ps	19	8	19:9
Ps	19	9	19:10
Ps	19	10	19:11
Ps	19	11	19:12
Ps	19	12	19:13
Ps	19	13	19:14
Ps	19	14	19:15
Ps	20	1	20:2
Ps	20	2	20:3
Ps	20	3	20:4
Ps	20	4	20:5
Ps	20	5	20:6
Ps	20	6	20:7
Ps	20	7	20:8
Ps	20	8	20:9
Ps	20	9	20:10
Ps	21	1	21:2
Ps	21	2	21:3
Ps	21	3	21:4
Ps	21	4	21:5
Ps	21	5	21:6
Ps	21	6	21:7
Ps	21	7	21:8
Ps	21	8	21:9
Ps	21	9	21:10
Ps	21	10	21:11
Ps	21	11	21:12
Ps	21	12	21:13
Ps	21	13	21:14
Ps	22	1	22:2
Ps	22	2	22:3
Ps	22	3	22:4
Ps	22	4	22:5
Ps	22	5	22:6
Ps	22	6	22:7
Ps	22	7	22:8
Ps	22	8	22:9
Ps	22	9	22:10
Ps	22	10	22:11
Ps	22	11	22:12
Ps	22	12	22:13
Ps	22	13	22:14
Ps	22	14	22:15
Ps	22	15	22:16
Ps	22	16	22:17
Ps	22	17	22:18
Ps	22	18	22:19
Ps	22	19	22:20
Ps	22	20	22:21
Ps	22	21	22:22
Ps	22	22	22:23
Ps	22	23	22:24
Ps	22	24	22:25
Ps	22	25	22:26
Ps	22	26	22:27
Ps	22	27	22:28
Ps	22	28	22:29
Ps	22	29	22:30
Ps	22	30	22:31
Ps	22	31	22:32
Ps	30	1	30:3
Ps	30	2	30:4
Ps	30	3	30:5
Ps	30	4	30:6
Ps	30	5	30:7
Ps	30	6	30:8
Ps	30	7	30:9
Ps	30	8	30:10
Ps	30	9	30:11
Ps	30	10	30:12
Ps	30	11	30:13
Ps	30	12	30:14
Ps	31	1	31:2
Ps	31	2	31:3
Ps	31	3	31:4
Ps	31	4	31:5
Ps	31	5	31:6
Ps	31	6	31:7
Ps	31	7	31:8
Ps	31	8	31:9
Ps	31	9	31:10
Ps	31	10	31:11
Ps	31	11	31:12
Ps	31	12	31:13
Ps	31	13	31:14
Ps	31	14	31:15
Ps	31	15	31:16
Ps	31	16	31:17
Ps	31	17	31:18
Ps	31	18	31:19
Ps	31	19	31:20
Ps	31	20	31:21
Ps	31	21	31:22
Ps	31	22	31:23
Ps	31	23	31:24
Ps	31	24	31:25
Ps	34	1	34:2
Ps	34	2	34:3
Ps	34	3	34:4
Ps	34	4	34:5
Ps	34	5	34:6
Ps	34	6	34:7
Ps	34	7	34:8
Ps	34	8	34:9
Ps	34	9	34:10
Ps	34	10	34:11
Ps	34	11	34:12
Ps	34	12	34:13
Ps	34	13	34:14
Ps	34	14	34:15
Ps	34	15	34:16
Ps	34	16	34:17
Ps	34	17	34:18
Ps	34	18	34:19
Ps	34	19	34:20
Ps	34	20	34:21
Ps	34	21	34:22
Ps	34	22	34:23
Ps	36	1	36:2
Ps	36	2	36:3
Ps	36	3	36:4
Ps	36	4	36:5
Ps	36	5	36:6
Ps	36	6	36:7
Ps	36	7	36:8
Ps	36	8	36:9
Ps	36	9	36:10
Ps	36	10	36:11
Ps	36	11	36:12
Ps	36	12	36:13
Ps	38	1	38:2
Ps	38	2	38:3
Ps	38	3	38:4
Ps	38	4	38:5
Ps	38	5	38:6
Ps	38	6	38:7
Ps	38	7	38:8
Ps	38	8	38:9
Ps	38	9	38:10
Ps	38	10	38:11
Ps	38	11	38:12
Ps	38	12	38:13
Ps	38	13	38:14
Ps	38	14	38:15
Ps	38	15	38:16
Ps	38	16	38:17
Ps	38	17	38:18
Ps	38	18	38:19
Ps	38	19	38:20
Ps	38	20	38:21
Ps	38	21	38:22
Ps	38	22	38:23
Ps	39	1	39:2
Ps	39	2	39:3
Ps	39	3	39:4
Ps	39	4	39:5
Ps	39	5	39:6
Ps	39	6	39:7
Ps	39	7	39:8
Ps	39	8	39:9
Ps	39	9	39:10
Ps	39	10	39:11
Ps	39	11	39:12
Ps	39	12	39:13
Ps	39	13	39:14
Ps	40	1	40:2
Ps	40	2	40:3
Ps	40	3	40:4
Ps	40	4	40:5
Ps	40	5	40:6
Ps	40	6	40:7
Ps	40	7	40:8
Ps	40	8	40:9
Ps	40	9	40:10
Ps	40	10	40:11
Ps	40	11	40:12
Ps	40	12	40:13
Ps	40	13	40:14
Ps	40	14	40:15
Ps	40	15	40:16
Ps	40	16	40:17
Ps	40	17	40:18
Ps	41	1	41:2
Ps	41	2	41:3
Ps	41	3	41:4
Ps	41	4	41:5
Ps	41	5	41:6
Ps	41	6	41:7
Ps	41	7	41:8
Ps	41	8	41:9
Ps	41	9	41:10
Ps	41	10	41:11
Ps	41	11	41:12
Ps	41	12	41:13
Ps	41	13	41:14
Ps	42	1	42:2
Ps	42	2	42:3
Ps	42	3	42:4
Ps	42	4	42:5
Ps	42	5	42:6
Ps	42	6	42:7
Ps	42	7	42:8
Ps	42	8	42:9
Ps	42	9	42:10
Ps	42	10	42:11
Ps	42	11	42:12
Ps	44	1	44:2
Ps	44	2	44:3
Ps	44	3	44:4
Ps	44	4	44:5
Ps	44	5	44:6
Ps	44	6	44:7
Ps	44	7	44:8
Ps	44	8	44:9
Ps	44	9	44:10
Ps	44	10	44:11
Ps	44	11	44:12
Ps	44	12	44:13
Ps	44	13	44:14
Ps	44	14	44:15
Ps	44	15	44:16
Ps	44	16	44:17
Ps	44	17	44:18
Ps	44	18	44:19
Ps	44	19	44:20
Ps	44	20	44:21
Ps	44	21	44:22
Ps	44	22	44:23
Ps	44	23	44:24
Ps	44	24	44:25
Ps	44	25	44:26
Ps	44	26	44:27
Ps	45	1	45:2
Ps	45	2	45:3
Ps	45	3	45:4
Ps	45	4	45:5
Ps	45	5	45:6
Ps	45	6	45:7
Ps	45	7	45:8
Ps	45	8	45:9
Ps	45	9	45:10
Ps	45	10	45:11
Ps	45	11	45:12
Ps	45	12	45:13
Ps	45	13	45:14
Ps	45	14	45:15
Ps	45	15	45:16
Ps	45	16	45:17
Ps	45	17	45:18
Ps	46	1	46:2
Ps	46	2	46:3
Ps	46	3	46:4
Ps	46	4	46:5
Ps	46	5	46:6
Ps	46	6	46:7
Ps	46	7	46:8
Ps	46	8	46:9
Ps	46	9	46:10
Ps	46	10	46:11
Ps	46	11	46:12
Ps	47	1	47:2
Ps	47	2	47:3
Ps	47	3	47:4
Ps	47	4	47:5
Ps	47	5	47:6
Ps	47	6	47:7
Ps	47	7	47:8
Ps	47	8	47:9
Ps	47	9	47:10
Ps	48	1	48:2
Ps	48	2	48:3
Ps	48	3	48:4
Ps	48	4	48:5
Ps	48	5	48:6
Ps	48	6	48:7
Ps	48	7	48:8
Ps	48	8	48:9
Ps	48	9	48:10
Ps	48	10	48:11
Ps	48	11	48:12
Ps	48	12	48:13
Ps	48	13	48:14
Ps	48	14	48:15
Ps	49	1	49:2
Ps	49	2	49:3
Ps	49	3	49:4
Ps	49	4	49:5
Ps	49	5	49:6
Ps	49	6	49:7
Ps	49	7	49:8
Ps	49	8	49:9
Ps	49	9	49:10
Ps	49	10	49:11
Ps	49	11	49:12
Ps	49	12	49:13
Ps	49	13	49:14
Ps	49	14	49:15
Ps	49	15	49:16
Ps	49	16	49:17
Ps	49	17	49:18
Ps	49	18	49:19
Ps	49	19	49:20
Ps	49	20	49:21
Ps	51	1	51:3
Ps	51	2	51:4
Ps	51	3	51:5
Ps	51	4	51:6
Ps	51	5	51:7
Ps	51	6	51:8
Ps	51	7	51:9
Ps	51	8	51:10
Ps	51	9	51:11
Ps	51	10	51:12
Ps	51	11	51:13
Ps	51	12	51:14
Ps	51	13	51:15
Ps	51	14	51:16
Ps	51	15	51:17
Ps	51	16	51:18
Ps	51	17	51:19
Ps	51	18	51:20
Ps	51	19	51:21
Ps	52	1	52:3
Ps	52	2	52:4
Ps	52	3	52:5
Ps	52	4	52:6
Ps	52	5	52:7
Ps	52	6	52:8
Ps	52	7	52:9
Ps	52	8	52:10
Ps	52	9	52:11
Ps	53	1	53:2
Ps	53	2	53:3
Ps	53	3	53:4
Ps	53	4	53:5
Ps	53	5	53:6
Ps	53	6	53:7
Ps	54	1	54:3
Ps	54	2	54:4
Ps	54	3	54:5
Ps	54	4	54:6
Ps	54	5	54:7
Ps	54	6	54:8
Ps	54	7	54:9
Ps	55	1	55:2
Ps	55	2	55:3
Ps	55	3	55:4
Ps	55	4	55:5
Ps	55	5	55:6
Ps	55	6	55:7
Ps	55	7	55:8
Ps	55	8	55:9
Ps	55	9	55:10
Ps	55	10	55:11
Ps	55	11	55:12
